,Marke,Bezeichnung,Preis,Lieferzeit,Nadelstärke,Zusammenstellung
0,dmc,natura-xl,"8,05 € ",,8 mm,100% Baumwolle
1,drops,baby-merino-mix,"2,72 € ",,3 mm,100% Merinowolle
